sweep_time,choch_time,type,price
2025-01-20 09:00:00,2025-01-20 10:30:00,BSL_SWEEP,1.22156
2025-01-22 10:00:00,2025-01-22 11:30:00,SSL_SWEEP,1.23231
2025-01-23 18:00:00,2025-01-23 19:45:00,SSL_SWEEP,1.23008
2025-01-29 16:00:00,2025-01-29 17:30:00,SSL_SWEEP,1.2401
2025-01-27 09:30:00,2025-01-27 12:00:00,SSL_SWEEP,1.24423
2025-01-28 21:15:00,2025-01-28 21:45:00,SSL_SWEEP,1.2422
2025-01-29 16:15:00,2025-01-29 17:30:00,SSL_SWEEP,1.24096
2025-01-30 13:30:00,2025-01-30 15:45:00,SSL_SWEEP,1.2432
2025-01-31 10:15:00,2025-01-31 10:45:00,BSL_SWEEP,1.24266
2025-01-31 15:15:00,2025-01-31 16:00:00,BSL_SWEEP,1.2426
2025-02-06 11:30:00,2025-02-06 14:00:00,BSL_SWEEP,1.24363
2025-02-06 16:30:00,2025-02-06 18:15:00,SSL_SWEEP,1.23964
2025-02-07 07:15:00,2025-02-07 09:30:00,SSL_SWEEP,1.24222
2025-02-13 00:00:00,2025-02-13 02:15:00,SSL_SWEEP,1.24348
2025-02-14 03:15:00,2025-02-14 05:15:00,BSL_SWEEP,1.25689
2025-02-18 15:00:00,2025-02-18 17:00:00,SSL_SWEEP,1.25834
2025-02-18 14:30:00,2025-02-18 17:00:00,SSL_SWEEP,1.25914
2025-02-18 15:30:00,2025-02-18 17:00:00,SSL_SWEEP,1.25922
2025-02-20 13:30:00,2025-02-20 14:45:00,BSL_SWEEP,1.26064
2025-02-21 14:15:00,2025-02-21 16:15:00,SSL_SWEEP,1.26429
2025-02-28 11:15:00,2025-02-28 13:15:00,BSL_SWEEP,1.26066
2025-02-28 13:30:00,2025-02-28 15:00:00,SSL_SWEEP,1.25908
2025-02-28 15:15:00,2025-02-28 17:45:00,BSL_SWEEP,1.26054
2025-02-28 17:00:00,2025-02-28 17:45:00,BSL_SWEEP,1.26104
2025-03-10 10:15:00,2025-03-10 12:30:00,SSL_SWEEP,1.28764
2025-03-14 10:15:00,2025-03-14 12:45:00,SSL_SWEEP,1.29357
2025-03-20 09:30:00,2025-03-20 11:15:00,BSL_SWEEP,1.29767
2025-03-19 19:45:00,2025-03-19 20:00:00,SSL_SWEEP,1.29564
2025-03-27 12:45:00,2025-03-27 14:30:00,SSL_SWEEP,1.29266
2025-03-28 16:15:00,2025-03-28 17:45:00,BSL_SWEEP,1.29666
2025-03-28 15:30:00,2025-03-28 17:45:00,BSL_SWEEP,1.29564
2025-04-01 20:15:00,2025-04-01 21:15:00,BSL_SWEEP,1.29284
